,Baroque,Early_Renaissance,High_Renaissance,Mannerism_Late_Renaissance,Northern_Renaissance,Rococo
Baroque,0.4,0.061168384879725084,0.1457044673539519,0.2927835051546392,0.06804123711340206,0.03230240549828179
Early_Renaissance,0.010725552050473186,0.7095688748685595,0.14784437434279707,0.049842271293375394,0.08159831756046267,0.0004206098843322818
High_Renaissance,0.03603896103896104,0.2487012987012987,0.4727272727272727,0.16558441558441558,0.07175324675324675,0.005194805194805195
Mannerism_Late_Renaissance,0.09915110356536502,0.1035653650254669,0.16774193548387098,0.5517826825127334,0.06689303904923599,0.010865874363327675
Northern_Renaissance,0.025709515859766278,0.20601001669449082,0.11953255425709516,0.08280467445742905,0.5646076794657763,0.001335559265442404
Rococo,0.23389830508474577,0.0576271186440678,0.1152542372881356,0.38305084745762713,0.03389830508474576,0.17627118644067796
