,Baroque,Early_Renaissance,High_Renaissance,Mannerism_Late_Renaissance,Northern_Renaissance,Rococo
Baroque,0.9999998,0.92935574,0.9574741,0.9734655,0.9633066,0.96454734
Early_Renaissance,0.92935574,1.0,0.9843295,0.9687601,0.97596854,0.85706085
High_Renaissance,0.9574741,0.9843295,0.9999997,0.9894624,0.98024696,0.8905639
Mannerism_Late_Renaissance,0.9734655,0.9687601,0.9894624,0.99999964,0.97575647,0.91460335
Northern_Renaissance,0.9633066,0.97596854,0.98024696,0.97575647,1.0000002,0.9034677
Rococo,0.96454734,0.85706085,0.8905639,0.91460335,0.9034677,1.0000004
