source_style,target_style,full_edge_rate,full_mean_similarity,religious_edge_rate,religious_mean_similarity,edge_rate_diff,edge_rate_ratio
Baroque,Rococo,3.0025,0.8432518927018047,1.3559322033898304,0.8663543805480003,-1.6465677966101695,0.45160106690752055
Early_Renaissance,Baroque,0.3316666666666666,0.838724896686161,0.5120274914089347,0.8576616808872095,0.18036082474226806,1.5438014816349792
Early_Renaissance,High_Renaissance,3.0716666666666668,0.867390666587548,3.603896103896104,0.8763600967220357,0.5322294372294372,1.1732705709916778
Early_Renaissance,Mannerism_Late_Renaissance,0.9066666666666666,0.8618997118490583,1.33446519524618,0.8639416833415287,0.4277985285795133,1.4718366124038749
Early_Renaissance,Northern_Renaissance,2.299166666666667,0.8502315131163588,2.986644407345576,0.8595064843480583,0.6874777406789092,1.2990117030861512
Early_Renaissance,Rococo,0.0975,0.8444969170113914,0.3220338983050847,0.8368273879352369,0.22453389830508472,3.302911777488048
High_Renaissance,Baroque,1.0308333333333333,0.8457576357846117,1.1786941580756014,0.865717887878418,0.14786082474226814,1.1434381484969456
High_Renaissance,Mannerism_Late_Renaissance,2.795,0.864105404151929,2.5789473684210527,0.8752867656369363,-0.21605263157894727,0.9227003107052067
High_Renaissance,Northern_Renaissance,2.381666666666667,0.8456661894114557,1.7161936560934892,0.8598726214369912,-0.6654730105731776,0.720585160011262
High_Renaissance,Rococo,0.2691666666666666,0.8499882186160368,0.7796610169491526,0.8697293284146682,0.5104943502824859,2.8965734375819916
Mannerism_Late_Renaissance,Baroque,1.9683333333333333,0.8493460093788128,2.5876288659793816,0.8683349441088845,0.6192955326460483,1.314629398465393
Mannerism_Late_Renaissance,Rococo,0.645,0.8531983350752552,2.3389830508474576,0.8692695347295292,1.6939830508474576,3.626330311391407
Northern_Renaissance,Baroque,1.080833333333333,0.836722441471441,0.7216494845360825,0.8524148222945985,-0.3591838487972506,0.6676787829169616
Northern_Renaissance,High_Renaissance,1.6541666666666666,0.8576348516142338,1.2142857142857142,0.8730684628779876,-0.4398809523809524,0.7340770061173084
Northern_Renaissance,Mannerism_Late_Renaissance,1.2025,0.8533064139773262,1.0101867572156198,0.8650501377442303,-0.1923132427843801,0.8400721473726569
Northern_Renaissance,Rococo,0.2225,0.8317549407258908,0.2033898305084746,0.8742104470729828,-0.019110169491525414,0.914111597790897
