,Baroque,Early_Renaissance,High_Renaissance,Mannerism_Late_Renaissance,Northern_Renaissance,Rococo
Baroque,0.5526666666666666,0.0255,0.077,0.14316666666666666,0.05266666666666667,0.149
Early_Renaissance,0.020166666666666666,0.638,0.18016666666666667,0.06283333333333334,0.0915,0.007333333333333333
High_Renaissance,0.05566666666666667,0.18566666666666667,0.49583333333333335,0.169,0.0795,0.014333333333333333
Mannerism_Late_Renaissance,0.1115,0.072,0.17083333333333334,0.5475,0.06866666666666667,0.0295
Northern_Renaissance,0.057833333333333334,0.13816666666666666,0.12483333333333334,0.0865,0.5771666666666667,0.0155
Rococo,0.1565,0.011333333333333334,0.022,0.052333333333333336,0.018,0.7398333333333333
