,Early_Renaissance,High_Renaissance,Northern_Renaissance,Mannerism_Late_Renaissance,Baroque,Rococo
Early_Renaissance,0.0,0.7548701298701299,0.6076794657762938,0.23599320882852293,0.08247422680412371,0.03389830508474576
High_Renaissance,0.0,0.0,0.39232053422370616,0.533106960950764,0.21305841924398625,0.11864406779661017
Northern_Renaissance,0.0,0.24512987012987014,0.0,0.23089983022071306,0.15463917525773196,0.05084745762711865
Mannerism_Late_Renaissance,0.0,0.0,0.0,0.0,0.5498281786941581,0.4915254237288136
Baroque,0.0,0.0,0.0,0.0,0.0,0.3050847457627119
Rococo,0.0,0.0,0.0,0.0,0.0,0.0
