,Early_Renaissance,High_Renaissance,Northern_Renaissance,Mannerism_Late_Renaissance,Baroque,Rococo
Early_Renaissance,0.0,0.6658333333333334,0.4975,0.16333333333333333,0.06916666666666667,0.016666666666666666
High_Renaissance,0.0,0.0,0.5025,0.5958333333333333,0.2175,0.043333333333333335
Northern_Renaissance,0.0,0.33416666666666667,0.0,0.24083333333333334,0.2808333333333333,0.0425
Mannerism_Late_Renaissance,0.0,0.0,0.0,0.0,0.4325,0.11916666666666667
Baroque,0.0,0.0,0.0,0.0,0.0,0.7783333333333333
Rococo,0.0,0.0,0.0,0.0,0.0,0.0
